id,名前,税込価格,エネルギー,タンパク質,脂質,炭水化物,塩分,赤点,緑点,黄点
17236,ワカメうどん（Udon noodles with wakame seaweed）,352,386,9.9,3.7,82.5,7.7,0.1,0.1,3.9
17247,（大）きつねうどん（(Large size)Udon noodles with deep-fried tofu）,418,654,18.6,9.5,124.0,6.7,1.6,0.0,5.7
17246,きつねうどん（Udon noodles with deep-fried tofu）,352,498,15.3,9.2,89.1,6.1,1.6,0.0,4.0
17291,（大）ざるうどん（(Large size)Zaru udon (cool udon noodles)）,418,667,15.3,1.7,147.9,5.9,0.0,0.1,7.0
17290,ざるうどん（Zaru udon (cool udon noodles)）,352,510,12.0,1.3,113.0,5.3,0.0,0.1,5.4
19004,ミートソーススパゲティ（Spaghetti meat sauce）,418,668,20.5,17.7,107.5,1.5,0.3,0.2,7.7
19003,カルボナーラ（Spaghetti carbonara）,418,656,19.2,19.4,101.2,1.5,0.7,0.0,7.7
7051,（小）ライス１３０ｇ（(Small size)Rice）,66,221,3.9,0.0,48.1,0.0,0.0,0.0,2.8
7052,（中）ライス２００ｇ（(Medium size)Rice）,99,340,6.0,0.0,74.0,0.0,0.0,0.0,4.3
7053,（大）ライス２７０ｇ（(Large size)Rice）,132,459,8.1,0.0,99.9,0.0,0.0,0.0,5.7
7059,（ミニ）ライス１００ｇ（(Mini size)Rice）,55,170,3.0,0.0,37.0,0.0,0.0,0.0,2.1
7054,（特大）ライス３４０ｇ（(Extra Large size)Rice）,165,578,10.2,0.0,125.8,0.0,0.0,0.0,7.2
7055,（小）麦ご飯１３０ｇ（(Small size)Barley rice （boiled barley and rice））,66,206,3.5,0.1,45.4,0.0,0.0,0.0,2.6
7056,（中）麦ご飯２００ｇ（(Medium size)Barley rice （boiled barley and rice））,99,316,5.4,0.1,69.8,0.0,0.0,0.0,4.0
